iter	RMSE
0	8.496296268
1	8.363236852
2	8.205267989
3	8.074028804
4	7.927882827
5	7.777802392
6	7.639583573
7	7.534967496
8	7.402324807
9	7.275204116
10	7.146440904
11	7.030226195
12	6.912810314
13	6.803090923
14	6.717126866
15	6.605765031
16	6.512100248
17	6.41408825
18	6.313123019
19	6.224768886
20	6.129255105
21	6.036368191
22	5.941364822
23	5.847602132
24	5.760883582
25	5.669092362
26	5.591051634
27	5.507403559
28	5.433867981
29	5.361215546
30	5.276202379
31	5.192448904
32	5.128221279
33	5.052657189
34	4.992549942
35	4.92375424
36	4.875331488
37	4.813524612
38	4.749676003
39	4.698668306
40	4.633169556
41	4.585934338
42	4.528438512
43	4.479827418
44	4.427022775
45	4.38198407
46	4.323839643
47	4.265472395
48	4.233187296
49	4.191385114
50	4.152202329
51	4.107286184
52	4.065987595
53	4.026780504
54	3.989316793
55	3.960343281
56	3.919111137
57	3.874537782
58	3.830989568
59	3.785162098
60	3.74852319
61	3.719114444
62	3.690639505
63	3.654145765
64	3.621802333
65	3.586879529
66	3.556592174
67	3.527288452
68	3.49636022
69	3.468418224
70	3.436877668
71	3.404993474
72	3.374865418
73	3.34687018
74	3.329671494
75	3.296665985
76	3.276624445
77	3.250726565
78	3.221258934
79	3.195925839
80	3.172263913
81	3.144414352
82	3.112741011
83	3.092239685
84	3.070754079
85	3.053865333
86	3.032851423
87	3.015039737
88	2.995373392
89	2.972803181
90	2.949368345
91	2.931168071
92	2.916805241
93	2.89759372
94	2.884182398
95	2.870240946
96	2.851333308
97	2.832803117
98	2.817307605
99	2.804171231
100	2.787003533
101	2.768523674
102	2.754290116
103	2.734905064
104	2.720026101
105	2.708229095
106	2.692975882
107	2.681408817
108	2.663865817
109	2.649587514
110	2.633763502
111	2.619900336
112	2.610291578
113	2.596994445
114	2.587175852
115	2.575703169
116	2.562482404
117	2.547365333
118	2.53731326
119	2.5258199
120	2.51460232
121	2.503198076
122	2.494124898
123	2.481804637
124	2.469010409
125	2.460117103
126	2.449493019
127	2.437064983
128	2.425535333
129	2.417182365
130	2.408730236
131	2.396709781
132	2.389488617
133	2.377458469
134	2.368380017
135	2.356481163
136	2.350490285
137	2.343315424
138	2.332293507
139	2.320424681
140	2.312119764
141	2.306908832
142	2.300232111
143	2.290860965
144	2.282445579
145	2.273060545
146	2.265415208
147	2.256970962
148	2.246366334
149	2.241814473
150	2.230864639
151	2.222735821
152	2.214811988
153	2.207783803
154	2.198270332
155	2.191481935
156	2.185503606
157	2.177080221
158	2.16995252
159	2.159508675
160	2.151407247
161	2.14640352
162	2.139999516
163	2.134875298
164	2.12795183
165	2.120676007
